game_id,oracle,backend,prior_risk,residual_risk,eventual_risk,intervention_cost,net_regret,dri,eventual_dri,identity_mi_bits,decision_signature_mi_bits,map_type_accuracy,decision_accuracy,expected_commitment_time,root_choice
threshold-boundary,task_active_net,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
threshold-boundary,task_information,float,20.0,8.0,8.0,12.000000000000002,20.0,0.6,0.6,0.27807190511263774,0.27807190511263774,0.8,0.8,1.0,act:stage_shared_item
threshold-boundary,reconnaissance,float,20.0,8.0,8.0,12.000000000000002,20.0,0.6,0.6,0.27807190511263774,0.27807190511263774,0.8,0.8,1.0,act:stage_shared_item
threshold-boundary,fixed_action__advance_task,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,act:advance_task
threshold-boundary,fixed_action__stage_shared_item,float,20.0,8.0,8.0,12.000000000000002,20.0,0.6,0.6,0.27807190511263774,0.27807190511263774,0.8,0.8,1.0,act:stage_shared_item
fundamentally-inseparable,fixed_response,fraction,20,20,20,0,20,0,0,0.0,0.0,1/2,1/2,0,commit:choose_left
fundamentally-inseparable,passive_net,fraction,20,20,20,0,20,0,0,0.0,0.0,1/2,1/2,0,commit:choose_left
fundamentally-inseparable,task_active_net,fraction,20,20,20,0,20,0,0,0.0,0.0,1/2,1/2,0,commit:choose_left
fundamentally-inseparable,task_information,fraction,20,20,20,0,20,0,0,0.0,0.0,1/2,1/2,0,commit:choose_left
fundamentally-inseparable,reconnaissance,fraction,20,20,20,0,20,0,0,0.0,0.0,1/2,1/2,0,commit:choose_left
fundamentally-inseparable,fixed_action__advance_task,fraction,20,20,20,0,20,0,0,0.0,0.0,1/2,1/2,1,act:advance_task
fundamentally-inseparable,fixed_action__stage_shared_item,fraction,20,20,20,1,21,0,0,0.0,0.0,1/2,1/2,1,act:stage_shared_item
fundamentally-inseparable,fixed_response,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
fundamentally-inseparable,passive_net,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
fundamentally-inseparable,task_active_net,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
fundamentally-inseparable,task_information,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
fundamentally-inseparable,reconnaissance,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
fundamentally-inseparable,fixed_action__advance_task,float,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,act:advance_task
fundamentally-inseparable,fixed_action__stage_shared_item,float,20.0,20.0,20.0,1.0,21.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,act:stage_shared_item
late-reveal,fixed_response,fraction,20,20,0,0,20,0,1,0.0,0.0,1/2,1/2,0,commit:choose_left
late-reveal,passive_net,fraction,20,20,0,0,20,0,1,0.0,0.0,1/2,1/2,0,commit:choose_left
late-reveal,task_active_net,fraction,20,20,0,0,20,0,1,0.0,0.0,1/2,1/2,0,commit:choose_left
late-reveal,task_information,fraction,20,20,0,0,20,0,1,0.0,0.0,1/2,1/2,0,commit:choose_left
late-reveal,reconnaissance,fraction,20,20,0,0,20,0,1,0.0,0.0,1/2,1/2,0,commit:choose_left
late-reveal,fixed_action__advance_task,fraction,20,20,0,0,20,0,1,0.0,0.0,1/2,1/2,1,act:advance_task
late-reveal,fixed_response,float,20.0,20.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
late-reveal,passive_net,float,20.0,20.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
late-reveal,task_active_net,float,20.0,20.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
late-reveal,task_information,float,20.0,20.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
late-reveal,reconnaissance,float,20.0,20.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,commit:choose_left
late-reveal,fixed_action__advance_task,float,20.0,20.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,act:advance_task
decision-irrelevant-identity,fixed_response,fraction,20,20,20,0,20,0,0,0.0,0.0,1/4,1/2,0,commit:choose_a
decision-irrelevant-identity,passive_net,fraction,20,20,20,0,20,0,0,0.0,0.0,1/4,1/2,0,commit:choose_a
decision-irrelevant-identity,task_active_net,fraction,20,8,8,5,13,3/5,3/5,0.2780719051126377,0.27807190511263774,2/5,4/5,1,act:stage_shared_item
